time_seconds,time_years,number_density,temperature,cr_rate,fuv_field,visual_extinction,C,C+,CO,CO+,E,H,H+,H2,H2O,H2O+,H3O+,HCO+,O,O+,OH,OH+
30044468307.140728,952.7038402822402,10000.0,50.0,1e-17,1.0,2.0,8.738872284947378e-05,9.592047474575853e-06,3.007047699289782e-06,1.203978766757651e-08,8.140700597964056e-05,1.6366535336025099,7.17892141430608e-05,0.18163457956428727,2.729194749706823e-06,1.8656202788599756e-09,9.42552842429993e-09,1.4218899292769843e-10,0.0001942118920078895,8.771471451720712e-10,2.6121181108962035e-08,1.3940894946524655e-09
31102448732.298073,986.2521794868744,10000.0,50.0,1e-17,1.0,2.0,8.76375915683697e-05,9.35437454940292e-06,2.9960528658418085e-06,1.1838203883157988e-08,8.372138460826789e-05,1.6577967273009502,7.43416606818794e-05,0.17106174953647243,2.686371264058372e-06,1.947360548993745e-09,9.009627264359015e-09,1.428125023112493e-10,0.00019426554975540588,9.316170026005332e-10,2.6676737707385554e-08,1.479755783723502e-09
32197684687.111404,1020.981883787145,10000.0,50.0,1e-17,1.0,2.0,8.788359997512947e-05,9.12066632027668e-06,2.9839493192930634e-06,1.164097567556652e-08,8.611842359744558e-05,1.6783846077947961,7.697277880205115e-05,0.16076654047314015,2.639835831281995e-06,2.033368344306692e-09,8.5952400187128e-09,1.4340962529216953e-10,0.00019432399767728808,9.915727501887715e-10,2.7238697018067824e-08,1.5739087032865753e-09
33331488081.00459,1056.9345535579841,10000.0,50.0,1e-17,1.0,2.0,8.812666319650329e-05,8.891118270662749e-06,2.970627032069443e-06,1.1447520468885167e-08,8.859957775224502e-05,1.6983885575065394,7.968382656360049e-05,0.15076326079806704,2.5893246580175884e-06,2.123636204451826e-09,8.182479222053205e-09,1.4398029573532903e-10,0.00019438761021940384,1.0577087214952761e-09,2.7805172526541166e-08,1.6775930687268928e-09
34505217020.74042,1094.1532540823318,10000.0,50.0,1e-17,1.0,2.0,8.836671448954981e-05,8.665914995466294e-06,2.9559687476482165e-06,1.1257242841982066e-08,9.116613636572714e-05,1.7177817760616672,8.247590717728995e-05,0.14106531040673437,2.534578236062544e-06,2.2180891592385547e-09,7.771508384161905e-09,1.4452449385067684e-10,0.00019445676483378574,1.1308239091024127e-09,2.8373989531802988e-08,1.792004182111485e-09
35720277437.20557,1132.682567136148,10000.0,50.0,1e-17,1.0,2.0,8.860370497150797e-05,8.445229653297763e-06,2.939850795374139e-06,1.106953757041296e-08,9.38191959394877e-05,1.736539486966189,8.534994222707307e-05,0.13168507733322193,2.4753490533004576e-06,2.3165695434952637e-09,7.362557743002545e-09,1.450422499460764e-10,0.00019453183341970414,1.2118400542122765e-09,2.8942672503818712e-08,1.9185119552757435e-09
36978124769.48041,1172.5686443899165,10000.0,50.0,1e-17,1.0,2.0,8.883760293004605e-05,8.22922337023706e-06,2.922144371909547e-06,1.0883794159273927e-08,9.655963149426344e-05,1.7546391365386225,8.830664352213555e-05,0.12263383828871292,2.4114111554603982e-06,2.4188205234839883e-09,6.955941210536016e-09,1.4553364827248857e-10,0.0001946131714316931,1.3018232258938277e-09,2.950843904557569e-08,2.0586891227602e-09
38280265708.21144,1213.8592626906216,10000.0,50.0,1e-17,1.0,2.0,8.906839265193748e-05,8.018044573513647e-06,2.9027173726702573e-06,1.0699403047945967e-08,9.938806705333483e-05,1.7720605823215558,9.134648418137136e-05,0.11392166445863407,2.342571649572288e-06,2.5244688210175742e-09,6.552073898592126e-09,1.4599883090822205e-10,0.00019470110447661036,1.402009626442669e-09,3.006820269647852e-08,2.214344224386274e-09
39628260000.37487,1256.6038812904258,10000.0,50.0,1e-17,1.0,2.0,8.929607271826988e-05,7.81182823956087e-06,2.881436840586927e-06,1.0515763581014172e-08,0.0001023048460964443,1.78878626812598,9.446966976194251e-05,0.10555733398148491,2.2686841158746264e-06,2.6330073701428196e-09,6.15148933211758e-09,1.4643800160594993e-10,0.00019479591236174496,1.5138365271081014e-09,3.061858685159637e-08,2.387560128496427e-09
41023722317.59211,1300.8537010905666,10000.0,50.0,1e-17,1.0,2.0,8.952065373749816e-05,7.610695051813984e-06,2.85817206556622e-06,1.033229369232881e-08,0.00010531000299937194,1.8048013828346003,9.767611044996308e-05,0.0975482525459293,2.189663716472503e-06,2.7437789197826678e-09,5.7548551480244704e-09,1.468514294980995e-10,0.0001948978107685542,1.638979447201997e-09,3.115595181145195e-08,2.5807389574598332e-09
42468324190.236534,1346.661725971478,10000.0,50.0,1e-17,1.0,2.0,8.974215552867651e-05,7.4147504803692366e-06,2.8327983104726904e-06,1.0148441029227741e-08,0.00010840323666231947,1.8200940001145391,0.00010096539550251222,0.08990038353082336,2.105503553657733e-06,2.8559618761509738e-09,5.362985771726736e-09,1.4723945252367315e-10,0.0001950069310201496,1.779396949910205e-09,3.167643628133878e-08,2.7966543578642675e-09
43963796009.64717,1394.0828262825714,10000.0,50.0,1e-17,1.0,2.0,8.996060383018475e-05,7.2240838187513466e-06,2.805201053640024e-06,9.963694943570176e-09,0.00011158388764178129,1.8346551962699964,0.0001043367712185085,0.08261818907295125,2.016291544834875e-06,2.9685599275012667e-09,4.976850301021741e-09,1.4760248040432156e-10,0.00019512329878363762,1.93738475332879e-09,3.217601336562195e-08,3.038512114997282e-09
45511929100.84789,1443.1738045677287,10000.0,50.0,1e-17,1.0,2.0,9.017602669631493e-05,7.038767242278522e-06,2.7752805220062284e-06,9.777598403526624e-09,0.00011485092007288005,1.8484791436065553,0.00010778912365899203,0.07570458337711235,1.922226763852109e-06,3.0803971501175806e-09,4.597573675845535e-09,1.479409969627741e-10,0.00019524681298338856,2.1156412620233998e-09,3.2650559142700025e-08,3.3100201207518698e-09
47114577868.255165,1493.99346360525,10000.0,50.0,1e-17,1.0,2.0,9.038845085322169e-05,6.858854986326097e-06,2.7429561464322373e-06,9.589758458670572e-09,0.00011820290942699725,1.8615631768837815,0.00011132096706134573,0.06916089948110615,1.823633886008175e-06,3.1901203036749127e-09,4.226429237235349e-09,1.4825556154746507e-10,0.0001953772266590024,2.3173471334760717e-09,3.309592923061454e-08,3.6154686308090844e-09
